facilityId,recordId,serialNumber,serviceDesc,pe,peDesc,category,description,county,agency,programIdentifier,siteAddress,city,st,zip,latitude,longitude,activityDate,01a,01b,01c,01d,01e,01f,02a,02b,02c,02d,02e,02f,02g,03a,03b,03c,03d,03e,03f,03g,04a,04b,04c,05a,05b,05c,05d,06a,06b,06c,07a,07b,07c,08a,08b,08c,totalCritical,numberOfFbiCritical,09a,09b,10a,I0b,10c,11a,11b,11c,12a,12b,12c,12d,13a,13b,13c,14a,14b,14c,14d,14e,14f,14g,14h,14i,15a,15b,totalNonCritical
FA0005238,PR0003350,DAUY2IE5Q,"Inspection, Routine",1025,Restaurant (0 - 100 seats),Low Risk (2),Food - Restaurants,Arapahoe,Tri-County Health Department,Little Caesars 112,10496 E Colfax Ave Unit A,Aurora,CO,80010,39.74004,-104.865906,10/01/2018 12:00:00 AM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,5,2,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,8
FA0004458,PR0008465,DADB5FAAX,"Inspection, Routine",1025,Restaurant (0 - 100 seats),Med Risk (3),Food - Restaurants,Arapahoe,Tri-County Health Department,Taco Bell,5050 S Quebec St,Denver,CO,80237,39.624748,-104.903908,10/01/2018 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6
FA0003323,PR0011564,DA0PXHQWQ,"Inspection, First Operational",1025,Restaurant (0 - 100 seats),Med Risk (3),Food - Restaurants,Adams,Tri-County Health Department,Tocoa in the House,1981 Clinton St,Aurora,CO,80010,39.747139,-104.87764,10/01/2018 12:00:00 AM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA0001709,PR0002532,DAJ6U8VHS,"Inspection, Routine",1005,"No fee license (K-12 schools, non-profit)",Med Risk (3),Food - Institutions,Adams,Tri-County Health Department,Community Leadership Academy,6880 Holly St,Commerce City,CO,80022,39.900394,-105.023262,10/01/2018 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA0002298,PR0000735,DAY0UMZIZ,"Inspection, Routine",1005,"No fee license (K-12 schools, non-profit)",Med Risk (3),Food - Institutions,Douglas,Tri-County Health Department,Roxborough Elementary,8000 Village Cir W,Littleton,CO,80125,39.47877268,-105.0775837,10/01/2018 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5
FA0002299,PR0003615,DAWLBZMXV,"Inspection, Routine",1005,"No fee license (K-12 schools, non-profit)",Med Risk (3),Food - Institutions,Douglas,Tri-County Health Department,Roxborough Intermediate School,7370 Village Cir E,Littleton,CO,80125,39.4681778,-105.0709305,10/01/2018 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
FA0000668,PR0000342,DASSQHII6,"Inspection, Routine",1005,"No fee license (K-12 schools, non-profit)",Med Risk (3),Food - Institutions,Arapahoe,Tri-County Health Department,Sixth Avenue Elementary,560 Vaughn St,Aurora,CO,80011,39.724983,-104.831108,10/01/2018 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FA0009170,PR0009824,DAZ339N3U,"Inspection, Routine",1025,Restaurant (0 - 100 seats),Med Risk (3),Food - Restaurants,Douglas,Tri-County Health Department,Potbelly Sandwich Shop,1341 New Beale St STE 100,Castle Rock,CO,80108,39.41272876,-104.8779348,10/01/2018 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
FA0003715,PR0000646,DAWCYT0OH,"Inspection, Routine",1065,Restaurant (>200 seats),Med Risk (3),Food - Restaurants,Arapahoe,Tri-County Health Department,Senor Rics,13200 E Mississippi Ave,Aurora,CO,80012,39.696472,-104.835892,10/01/2018 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4
FA0002204,PR0000641,DAVIS8IOA,"Inspection, Routine",1005,"No fee license (K-12 schools, non-profit)",Med Risk (3),Food - Institutions,Douglas,Tri-County Health Department,Sand Creek Elementary,8898 Maplewood Dr,Highlands Ranch,CO,80126,39.561083,-104.9646779,10/01/2018 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA0010333,PR0011553,DAE4TE4CC,"Inspection, Routine",1025,Restaurant (0 - 100 seats),Med Risk (3),Food - Restaurants,Adams,Tri-County Health Department,Real Good Food,1670 Jasper St Unit H,Aurora,CO,80011,39.74328,-104.80408,08/21/2018 12:00:00 AM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
